,Region,Incident ID,Incident Type,Full Location ,Start Date,Start Time,Duration ICT,Lanes Blocked,Blockage Duration RCT,Response Time,"Rural/
Urban",Key ,County,Interstate,Route,Direction,Unnamed: 16,Description,Inc MM,Latitude,Longitude,Severity Lanes,Severity Duration,Severity,Temp,Prec,Condition,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,sunrise,sunset,moonphase,conditions,description,icon,stations,geometry
13802,3,18573,Vehicle Fire,"WILLIAMSON on Interstate 40 Westbound, Before MILE MARKER 184",2021-04-15,10:22:30 PM,85,2,84,0,Urban,15191,WILLIAMSON,I-40W,I-40,Westbound,Before,MILE MARKER 184          ,184.0,36.04416999,-87.14607188,Level 3,Level 2,Level 2,51.9,0.0,Clear,nashville tennessee,2021-04-15,62.7,48.6,54.9,62.7,44.0,54.3,35.5,49.44,0.0,0.0,0.0,0.0,20.4,13.2,302.1,1016.4,45.6,9.9,2021-04-15T06:13:23,2021-04-15T19:21:18,0.05,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-87.14607187999999 36.04416999)
14018,3,18856,Vehicle Fire,"DAVIDSON on Interstate 40 Westbound, Beyond MILE MARKER 196",2021-04-18,2:03:18 PM,89,2,22,5,Urban,15422,DAVIDSON,I-40W,I-40,Westbound,Beyond,MILE MARKER 196          ,196.0,36.07884664,-86.96189406,Level 3,Level 1,Level 1,62.9,0.0,Clear,nashville tennessee,2021-04-18,64.0,42.2,55.0,64.0,42.2,55.0,42.3,64.97,0.01,4.17,0.0,0.0,13.9,6.8,226.6,1014.2,58.1,9.6,2021-04-18T06:09:28,2021-04-18T19:23:51,0.16,Rain,Partly cloudy throughout the day with late afternoon rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.96189406000001 36.07884664)
14033,3,18875,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, Beyond MILE MARKER 58.8",2021-04-18,4:42:36 PM,78,2,68,4,Urban,15438,DAVIDSON,I-24W,I-24,Westbound,Beyond,MILE MARKER 58.8          ,58.8,36.01606564,-86.62238126,Level 3,Level 2,Level 2,63.9,0.0,Clear,nashville tennessee,2021-04-18,64.0,42.2,55.0,64.0,42.2,55.0,42.3,64.97,0.01,4.17,0.0,0.0,13.9,6.8,226.6,1014.2,58.1,9.6,2021-04-18T06:09:28,2021-04-18T19:23:51,0.16,Rain,Partly cloudy throughout the day with late afternoon rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.62238126 36.01606564)
14243,3,19162,Vehicle Fire,"DICKSON on Interstate 40 Westbound, Before MILE MARKER 178",2021-04-21,12:32:33 AM,949,2,906,-8,Urban,15670,DICKSON,I-40W,I-40,Westbound,Before,MILE MARKER 178          ,178.0,36.01906467,-87.23705199,Level 3,Level 3,Level 3,42.9,0.0,Clear,nashville tennessee,2021-04-21,51.2,35.8,42.8,51.2,27.1,38.6,28.3,60.39,0.08,20.83,0.0,0.0,24.1,13.2,287.2,1021.8,70.6,9.8,2021-04-21T06:05:39,2021-04-21T19:26:25,0.31,Rain,Partly cloudy throughout the day with early morning rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-87.23705199 36.01906467)
14244,3,19163,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, Beyond MILE MARKER 61.6",2021-04-21,12:53:12 AM,45,0,24,0,Urban,15671,DAVIDSON,I-24W,I-24,Westbound,Beyond,MILE MARKER 61.6          ,61.6,36.02431,-86.631617,Level 1,Level 1,Level 1,42.9,0.0,Clear,nashville tennessee,2021-04-21,51.2,35.8,42.8,51.2,27.1,38.6,28.3,60.39,0.08,20.83,0.0,0.0,24.1,13.2,287.2,1021.8,70.6,9.8,2021-04-21T06:05:39,2021-04-21T19:26:25,0.31,Rain,Partly cloudy throughout the day with early morning rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.63161700000001 36.02431)
14416,3,19373,Vehicle Fire,"SUMNER on Interstate 65 Southbound, Beyond MILE MARKER 98",2021-04-22,5:24:00 PM,36.6,2,29.55,0.516666667,Urban,15854,SUMNER,I-65S,I-65,Southbound,Beyond,MILE MARKER 98          ,98.0,36.33837421,-86.71222841,Level 3,Level 1,Level 1,61.3,0.0,Clear,nashville tennessee,2021-04-22,61.9,34.3,48.7,61.9,31.4,48.4,29.1,51.3,0.0,0.0,0.0,0.0,19.2,9.3,200.7,1022.2,39.7,9.9,2021-04-22T06:04:25,2021-04-22T19:27:16,0.36,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.71222840999999 36.33837421)
14449,3,19419,Vehicle Fire,"RUTHERFORD on Interstate 24 Eastbound, Beyond MILE MARKER 71.4",2021-04-23,8:47:43 AM,63,2,39,0,Urban,15894,RUTHERFORD,I-24E,I-24,Eastbound,Beyond,MILE MARKER 71.4          ,71.4,35.92085724,-86.51644326,Level 3,Level 2,Level 2,46.6,0.02,Rain,nashville tennessee,2021-04-23,60.9,43.8,50.7,60.9,43.8,50.5,41.3,70.7,0.07,20.83,0.0,0.0,,8.6,72.5,1020.0,82.0,9.8,2021-04-23T06:03:11,2021-04-23T19:28:08,0.41,Rain,Partly cloudy throughout the day with rain in the morning and afternoon.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.51644326 35.92085724)
14600,3,19610,Vehicle Fire,"DAVIDSON on Interstate 40 Eastbound, Before MILE MARKER 198",2021-04-25,6:58:29 AM,324,0,0,0,Urban,16061,DAVIDSON,I-40E,I-40,Eastbound,Before,MILE MARKER 198          ,198.0,36.09787342,-86.93635812,Level 1,Level 1,Level 1,53.7,0.0,Clear,nashville tennessee,2021-04-25,70.4,51.7,60.0,70.4,51.7,60.0,45.6,62.32,0.0,0.0,0.0,0.0,16.1,11.1,265.3,1016.6,56.2,9.3,2021-04-25T06:00:46,2021-04-25T19:29:51,0.48,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.93635811999999 36.09787342)
14748,3,19803,Vehicle Fire,"DAVIDSON on Interstate 40 Eastbound, Before MILE MARKER 202.6",2021-04-26,5:06:51 PM,697,2,30,5,Urban,16224,DAVIDSON,I-40E,I-40,Eastbound,Before,MILE MARKER 202.6          ,202.6,36.14603948,-86.87927507,Level 3,Level 1,Level 1,78.2,0.0,Clear,nashville tennessee,2021-04-26,79.4,44.0,62.5,79.4,44.0,62.5,46.1,59.71,0.0,0.0,0.0,0.0,20.5,13.3,132.3,1017.6,26.9,9.9,2021-04-26T05:59:35,2021-04-26T19:30:42,0.5,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.87927507000001 36.14603948)
14828,3,19907,Vehicle Fire,"DAVIDSON on Interstate 40 Eastbound, At EXIT 210: I-65 SOUTH / HUNTSVILLE",2021-04-27,2:22:04 PM,315,0,24,2,Rural,16307,DAVIDSON,I-40E,I-40,Eastbound,At,EXIT 210 I-65 SOUTH / HUNTSVILLE       ,210.0,36.14856036,-86.77624462,Level 1,Level 1,Level 1,82.7,0.0,Clear,nashville tennessee,2021-04-27,83.8,60.2,72.0,82.2,60.2,71.6,51.1,49.91,0.0,0.0,0.0,0.0,30.1,19.0,208.6,1016.4,35.0,9.9,2021-04-27T05:58:25,2021-04-27T19:31:33,0.5,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.77624462 36.14856036)
15189,3,20380,Vehicle Fire,"DAVIDSON on Interstate 440 Westbound, Before MILE MARKER 6.8",2021-04-30,5:40:15 PM,815,2,25,1,Urban,16705,DAVIDSON,I-440W,I-440,Westbound,Before,MILE MARKER 6.8          ,6.8,36.1241795,-86.74262631,Level 3,Level 1,Level 1,75.5,0.0,Clear,nashville tennessee,2021-04-30,76.8,52.3,64.9,76.8,52.3,64.9,48.7,61.63,0.0,0.0,0.0,0.0,22.5,14.4,284.6,1019.6,20.0,8.4,2021-04-30T05:55:01,2021-04-30T19:34:08,0.58,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.74262631000001 36.1241795)
15464,3,20715,Vehicle Fire,"DAVIDSON on Interstate 40 Eastbound, Beyond MILE MARKER 219",2021-05-03,9:55:00 PM,637,1,37,7,Urban,16999,DAVIDSON,I-40E,I-40,Eastbound,Beyond,MILE MARKER 219          ,219.0,36.15604883,-86.62877489,Level 2,Level 2,Level 2,72.9,0.0,Clear,nashville tennessee,2021-05-03,81.4,64.6,71.0,83.9,64.6,71.4,65.0,82.46,1.93,50.0,0.0,0.0,21.1,12.0,186.5,1005.9,74.2,8.3,2021-05-03T05:51:48,2021-05-03T19:36:41,0.74,Rain,Partly cloudy throughout the day with rain clearing later.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.62877489 36.15604883)
16192,3,21677,Vehicle Fire,"ROBERTSON on Interstate 65 Southbound, Beyond MILE MARKER 115.2",2021-05-12,7:58:54 AM,33.95,0,0,0,Urban,17807,ROBERTSON,I-65S,I-65,Southbound,Beyond,MILE MARKER 115.2          ,115.2,36.5618034,-86.62434637,Level 1,Level 1,Level 1,53.2,0.0,Clear,nashville tennessee,2021-05-12,67.3,53.2,59.5,67.3,53.2,59.5,37.1,44.77,0.01,4.17,0.0,0.0,25.2,16.1,29.3,1023.9,47.0,9.9,2021-05-12T05:43:13,2021-05-12T19:44:16,0.0,Rain,Clearing in the afternoon with early morning rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.62434637 36.5618034)
16833,3,22532,Vehicle Fire,"WILLIAMSON on Interstate 65 Northbound, Before MILE MARKER 66.2",2021-05-19,7:33:16 AM,641.3166667,0,4.35,1.583333333,Urban,18517,WILLIAMSON,I-65N,I-65,Northbound,Before,MILE MARKER 66.2          ,66.2,35.92481169,-86.82210338,Level 1,Level 1,Level 1,67.9,0.0,Clear,nashville tennessee,2021-05-19,82.7,67.1,73.5,82.2,67.1,73.5,58.0,60.12,0.0,0.0,0.0,0.0,28.7,18.4,128.8,1022.9,70.5,9.9,2021-05-19T05:37:50,2021-05-19T19:49:54,0.23,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.82210338 35.92481169)
17039,3,22807,Vehicle Fire,"DICKSON on Interstate 40 Eastbound, Before MILE MARKER 179",2021-05-21,1:14:55 AM,506,1,85,-95,Urban,18756,DICKSON,I-40E,I-40,Eastbound,Before,MILE MARKER 179          ,179.0,36.02434093,-87.22393686,Level 2,Level 2,Level 2,69.4,0.0,Clear,nashville tennessee,2021-05-21,85.3,61.2,74.3,83.4,61.2,73.7,53.2,50.7,0.0,0.0,0.0,0.0,20.7,13.7,137.3,1028.1,28.2,9.7,2021-05-21T05:36:31,2021-05-21T19:51:26,0.34,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-87.22393685999999 36.02434093)
17147,3,22928,Vehicle Fire,"DAVIDSON on Interstate 40 Eastbound, Before MILE MARKER 205",2021-05-21,9:10:07 PM,8,1,8,0,Urban,18866,DAVIDSON,I-40E,I-40,Eastbound,Before,MILE MARKER 205          ,205.0,36.15415398,-86.83923424,Level 2,Level 1,Level 1,72.8,0.0,Clear,nashville tennessee,2021-05-21,85.3,61.2,74.3,83.4,61.2,73.7,53.2,50.7,0.0,0.0,0.0,0.0,20.7,13.7,137.3,1028.1,28.2,9.7,2021-05-21T05:36:31,2021-05-21T19:51:26,0.34,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.83923424 36.15415398)
17231,3,23024,Vehicle Fire,"DAVIDSON on Interstate 40 Eastbound, Beyond MILE MARKER 210.8",2021-05-22,8:25:30 PM,21,0,0,2,Urban,18955,DAVIDSON,I-40E,I-40,Eastbound,Beyond,MILE MARKER 210.8          ,210.8,36.15415975,-86.76281062,Level 1,Level 1,Level 1,77.5,0.0,Clear,nashville tennessee,2021-05-22,86.0,60.1,74.2,84.8,60.1,74.0,58.3,60.7,0.0,0.0,0.0,0.0,11.4,6.7,91.5,1027.8,54.4,9.8,2021-05-22T05:35:54,2021-05-22T19:52:12,0.39,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.76281062 36.15415975)
17358,3,23193,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, At EXIT 56: SR-255 / HARDING PL.",2021-05-24,12:18:42 PM,3,0,1,0,Urban,19094,DAVIDSON,I-24W,I-24,Westbound,At,EXIT 56 SR-255 / HARDING PL.       ,56.0,36.082601,-86.697922,Level 1,Level 1,Level 1,87.7,0.0,Clear,nashville tennessee,2021-05-24,88.7,60.9,75.8,87.3,60.9,75.4,59.3,61.03,0.0,0.0,0.0,0.0,,6.5,144.1,1021.6,40.6,9.3,2021-05-24T05:34:45,2021-05-24T19:53:41,0.47,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.69792200000001 36.082601)
17363,3,23198,Vehicle Fire,"DAVIDSON on Interstate 40 Westbound, At EXIT 205: 51ST AVE. / 46TH AVE. / WEST NASHVILLE",2021-05-24,12:50:45 PM,932,0,35,3,Urban,19099,DAVIDSON,I-40W,I-40,Westbound,At,EXIT 205 51ST AVE. / 46TH AVE. / WEST NASHVILLE   ,205.0,36.15415398,-86.83923424,Level 1,Level 2,Level 1,87.7,0.0,Clear,nashville tennessee,2021-05-24,88.7,60.9,75.8,87.3,60.9,75.4,59.3,61.03,0.0,0.0,0.0,0.0,,6.5,144.1,1021.6,40.6,9.3,2021-05-24T05:34:45,2021-05-24T19:53:41,0.47,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.83923424 36.15415398)
17456,3,23328,Vehicle Fire,"DAVIDSON on Interstate 24 Eastbound, Beyond MILE MARKER 32.4",2021-05-25,12:58:49 PM,440,2,52,19,Urban,19200,DAVIDSON,I-24E,I-24,Eastbound,Beyond,MILE MARKER 32.4          ,32.4,36.3361967,-86.91035815,Level 3,Level 2,Level 2,89.7,0.0,Clear,nashville tennessee,2021-05-25,91.0,63.9,77.9,90.7,63.9,77.8,61.2,60.5,0.0,0.0,0.0,0.0,18.4,10.7,137.4,1020.2,28.8,9.1,2021-05-25T05:34:13,2021-05-25T19:54:25,0.49,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.91035814999999 36.3361967)
17463,3,23337,Vehicle Fire,"DAVIDSON on Interstate 40 Westbound, Before MILE MARKER 219.4",2021-05-25,2:04:17 PM,64,3,30,1,Urban,19208,DAVIDSON,I-40W,I-40,Westbound,Before,MILE MARKER 219.4          ,219.4,36.15930188,-86.62353065,Level 3,Level 1,Level 1,89.0,0.0,Clear,nashville tennessee,2021-05-25,91.0,63.9,77.9,90.7,63.9,77.8,61.2,60.5,0.0,0.0,0.0,0.0,18.4,10.7,137.4,1020.2,28.8,9.1,2021-05-25T05:34:13,2021-05-25T19:54:25,0.49,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.62353065000001 36.15930188)
17526,3,23402,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, Before MILE MARKER 54.6",2021-05-25,8:34:40 PM,1,0,0,0,Urban,19273,DAVIDSON,I-24W,I-24,Westbound,Before,MILE MARKER 54.6          ,54.6,36.05826813,-86.67825476,Level 1,Level 1,Level 1,82.6,0.0,Clear,nashville tennessee,2021-05-25,91.0,63.9,77.9,90.7,63.9,77.8,61.2,60.5,0.0,0.0,0.0,0.0,18.4,10.7,137.4,1020.2,28.8,9.1,2021-05-25T05:34:13,2021-05-25T19:54:25,0.49,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.67825476 36.05826813)
17527,3,23403,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, Before MILE MARKER 54.4",2021-05-25,8:35:37 PM,56,2,14,4,Urban,19274,DAVIDSON,I-24W,I-24,Westbound,Before,MILE MARKER 54.4          ,54.4,36.05971505,-86.67944432,Level 3,Level 1,Level 1,82.6,0.0,Clear,nashville tennessee,2021-05-25,91.0,63.9,77.9,90.7,63.9,77.8,61.2,60.5,0.0,0.0,0.0,0.0,18.4,10.7,137.4,1020.2,28.8,9.1,2021-05-25T05:34:13,2021-05-25T19:54:25,0.49,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.67944432 36.05971505)
17534,3,23424,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, Before MILE MARKER 54.4",2021-05-26,6:36:02 AM,89,1,7,0,Urban,19285,DAVIDSON,I-24W,I-24,Westbound,Before,MILE MARKER 54.4          ,54.4,36.05971505,-86.67944432,Level 2,Level 1,Level 1,66.6,0.0,Clear,nashville tennessee,2021-05-26,80.4,66.5,71.9,81.8,66.5,72.0,63.8,76.72,0.25,29.17,0.0,0.0,19.7,12.6,188.1,1020.0,59.0,8.4,2021-05-26T05:33:43,2021-05-26T19:55:08,0.5,Rain,Partly cloudy throughout the day with rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.67944432 36.05971505)
17924,3,23916,Vehicle Fire,"DAVIDSON on Interstate 40 Westbound, Before MILE MARKER 197.2",2021-05-30,8:48:24 AM,"1,409",1,17,1,Urban,19729,DAVIDSON,I-40W,I-40,Westbound,Before,MILE MARKER 197.2          ,197.2,36.08773649,-86.94318769,Level 2,Level 1,Level 1,57.5,0.0,Clear,nashville tennessee,2021-05-30,73.1,51.8,62.2,73.1,51.8,62.2,46.1,58.52,0.0,0.0,0.0,0.0,19.0,10.6,122.0,1022.5,37.9,9.8,2021-05-30T05:31:58,2021-05-30T19:57:52,0.61,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.94318769 36.08773649)
17957,3,23954,Vehicle Fire,"RUTHERFORD on Interstate 24 Eastbound, Before MILE MARKER 72",2021-05-30,5:31:40 PM,68,2,33,3,Urban,19766,RUTHERFORD,I-24E,I-24,Eastbound,Before,MILE MARKER 72          ,72.0,35.9142891,-86.5091629,Level 3,Level 2,Level 2,73.1,0.0,Clear,nashville tennessee,2021-05-30,73.1,51.8,62.2,73.1,51.8,62.2,46.1,58.52,0.0,0.0,0.0,0.0,19.0,10.6,122.0,1022.5,37.9,9.8,2021-05-30T05:31:58,2021-05-30T19:57:52,0.61,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.50916290000001 35.9142891)
18066,3,24101,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, Before MILE MARKER 42.4",2021-06-01,9:49:08 AM,1,0,0,0,Urban,19894,DAVIDSON,I-24W,I-24,Westbound,Before,MILE MARKER 42.4          ,42.4,36.25222483,-86.78475114,Level 1,Level 1,Level 1,68.0,0.0,Clear,nashville tennessee,2021-06-01,78.8,61.3,69.7,78.8,61.3,69.7,58.5,68.72,0.0,0.0,0.0,0.0,12.8,9.3,114.6,1020.9,66.2,9.8,2021-06-01T05:31:16,2021-06-01T19:59:09,0.71,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.78475114 36.25222483)
18113,3,24156,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, Beyond MILE MARKER 34",2021-06-01,5:33:23 PM,17,0,0,0,Urban,19948,DAVIDSON,I-24W,I-24,Westbound,Beyond,MILE MARKER 34          ,34.0,36.32626759,-86.88555816,Level 1,Level 1,Level 1,75.0,0.0,Clear,nashville tennessee,2021-06-01,78.8,61.3,69.7,78.8,61.3,69.7,58.5,68.72,0.0,0.0,0.0,0.0,12.8,9.3,114.6,1020.9,66.2,9.8,2021-06-01T05:31:16,2021-06-01T19:59:09,0.71,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.88555816 36.32626759)
18990,3,25325,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, At EXIT 54: SR-155 / BRILEY PKWY.",2021-06-10,10:20:10 AM,191,0,11,2,Urban,20936,DAVIDSON,I-24W,I-24,Westbound,At,EXIT 54 SR-155 / BRILEY PKWY.       ,54.0,36.06493445,-86.68486152,Level 1,Level 1,Level 1,75.5,0.0,Clear,nashville tennessee,2021-06-10,83.8,71.7,75.8,88.1,71.7,76.6,69.9,82.68,0.21,8.33,0.0,0.0,19.7,10.7,219.6,1013.6,89.3,9.5,2021-06-10T05:29:30,2021-06-10T20:04:04,0.0,Rain,Partly cloudy throughout the day with late afternoon rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.68486152 36.06493445)
19020,3,25372,Vehicle Fire,"DAVIDSON on Interstate 440 Westbound, Before MILE MARKER 5.6",2021-06-10,2:33:52 PM,2,1,0,0,Urban,20967,DAVIDSON,I-440W,I-440,Westbound,Before,MILE MARKER 5.6          ,5.6,36.121616,-86.763051,Level 2,Level 1,Level 1,82.1,0.0,Clear,nashville tennessee,2021-06-10,83.8,71.7,75.8,88.1,71.7,76.6,69.9,82.68,0.21,8.33,0.0,0.0,19.7,10.7,219.6,1013.6,89.3,9.5,2021-06-10T05:29:30,2021-06-10T20:04:04,0.0,Rain,Partly cloudy throughout the day with late afternoon rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.763051 36.121616)
19263,3,25717,Vehicle Fire,"DAVIDSON on Interstate 24 Eastbound, Beyond MILE MARKER 57.8",2021-06-13,3:22:46 PM,"1,092",2,32,1,Urban,21249,DAVIDSON,I-24E,I-24,Eastbound,Beyond,MILE MARKER 57.8          ,57.8,36.02610028,-86.63358881,Level 3,Level 2,Level 2,92.3,0.0,Clear,nashville tennessee,2021-06-13,93.5,72.9,83.0,101.6,72.9,86.8,71.6,70.83,0.0,0.0,0.0,0.0,12.8,9.0,226.2,1011.7,43.3,9.3,2021-06-13T05:29:25,2021-06-13T20:05:20,0.04,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.63358881000001 36.02610028)
19304,3,25768,Vehicle Fire,"DAVIDSON on Interstate 24 Eastbound, Before MILE MARKER 54.6",2021-06-14,4:17:08 AM,535,2,30,0,Urban,21293,DAVIDSON,I-24E,I-24,Eastbound,Before,MILE MARKER 54.6          ,54.6,36.05826813,-86.67825476,Level 3,Level 1,Level 1,75.6,0.0,Clear,nashville tennessee,2021-06-14,92.8,74.1,83.3,92.8,74.1,83.8,64.6,56.33,0.0,0.0,0.0,0.0,16.1,10.2,290.7,1013.0,23.0,9.6,2021-06-14T05:29:26,2021-06-14T20:05:43,0.08,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.67825476 36.05826813)
19971,3,26673,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, Beyond MILE MARKER 34.4",2021-06-20,7:02:20 PM,25,2,22,1,Urban,22034,DAVIDSON,I-24W,I-24,Westbound,Beyond,MILE MARKER 34.4          ,34.4,36.32542124,-86.87739192,Level 3,Level 1,Level 1,87.9,0.0,Clear,nashville tennessee,2021-06-20,91.0,67.2,80.2,95.2,67.2,82.2,66.8,65.87,0.0,0.0,0.0,0.0,19.5,11.7,215.3,1010.2,29.6,9.9,2021-06-20T05:30:10,2021-06-20T20:07:30,0.38,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.87739191999999 36.32542124)
20105,3,26853,Vehicle Fire,"DAVIDSON on Interstate 40 Eastbound, Before MILE MARKER 211.4",2021-06-22,7:11:19 AM,98,2,97,-3,Urban,22179,DAVIDSON,I-40E,I-40,Eastbound,Before,MILE MARKER 211.4          ,211.4,36.15215894,-86.75340606,Level 3,Level 3,Level 3,64.0,0.0,Clear,nashville tennessee,2021-06-22,79.4,62.8,71.0,79.4,62.8,71.0,53.9,57.41,0.01,4.17,0.0,0.0,20.8,11.2,283.9,1015.1,34.2,9.9,2021-06-22T05:30:37,2021-06-22T20:07:53,0.46,Rain,Partly cloudy throughout the day with early morning rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.75340606 36.15215894)
20188,3,26966,Vehicle Fire,"WILSON on Interstate 40 Westbound, At EXIT 226: BELINDA PKWY / PROVIDENCE WAY",2021-06-23,5:29:03 AM,420,4,404,22,Urban,22272,WILSON,I-40W,I-40,Westbound,At,EXIT 226 BELINDA PKWY / PROVIDENCE WAY      ,226.0,36.171985,-86.508668,Level 3,Level 3,Level 3,55.6,0.0,Clear,nashville tennessee,2021-06-23,83.9,55.6,70.7,82.0,55.6,70.4,52.3,56.45,0.0,0.0,0.0,0.0,12.8,7.7,85.0,1019.5,16.5,9.9,2021-06-23T05:30:53,2021-06-23T20:08:02,0.49,Clear,Clear conditions throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.508668 36.171985)
20718,3,27711,Vehicle Fire,"DAVIDSON on Interstate 40 Eastbound, Before MILE MARKER 218.6",2021-06-29,9:08:57 AM,70,1,6,-1,Urban,22861,DAVIDSON,I-40E,I-40,Eastbound,Before,MILE MARKER 218.6          ,218.6,36.154094,-86.631922,Level 2,Level 1,Level 1,84.5,0.0,Clear,nashville tennessee,2021-06-29,94.8,73.0,80.3,99.8,73.0,82.4,70.1,72.83,0.04,8.33,0.0,0.0,20.0,13.3,148.3,1021.5,48.3,9.7,2021-06-29T05:32:56,2021-06-29T20:08:23,0.64,Rain,Partly cloudy throughout the day with afternoon rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.631922 36.154094)
20800,3,27830,Vehicle Fire,"DAVIDSON on Interstate 40 Eastbound, Beyond MILE MARKER 217.4",2021-06-30,7:16:11 AM,435,1,5,0,Urban,22955,DAVIDSON,I-40E,I-40,Eastbound,Beyond,MILE MARKER 217.4          ,217.4,36.14299909,-86.65044176,Level 2,Level 1,Level 1,74.3,0.0,Clear,nashville tennessee,2021-06-30,90.5,70.5,79.8,94.6,70.5,81.7,68.8,71.03,0.0,0.0,0.0,0.0,24.2,10.7,193.9,1020.0,52.1,9.9,2021-06-30T05:33:21,2021-06-30T20:08:20,0.69,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.65044176000001 36.14299909)
